"Lt. amygdala (mAmyg, medial amygdala)"
"Rt. amygdala (mAmyg, medial amygdala)"
"Lt. amygdala (lAmyg, lateral amygdala)"
"Rt. amygdala (lAmyg, lateral amygdala)"
"Lt. hippocampus (rHipp, rostral hippocampus)"
"Rt. hippocampus (rHipp, rostral hippocampus)"
"Lt. hippocampus (cHipp, caudal hippocampus)"
"Rt. hippocampus (cHipp, caudal hippocampus)"
"Lt. basal ganglia (vCa, ventral caudate)"
"Rt. basal ganglia (vCa, ventral caudate)"
"Lt. basal ganglia (GP, globus pallidus)"
"Rt. basal ganglia (GP, globus pallidus)"
"Lt. basal ganglia (NAc, nucleus accumbens)"
"Rt. basal ganglia (NAc, nucleus accumbens)"
"Lt. basal ganglia (vmPu, ventromedial putamen)"
"Rt. basal ganglia (vmPu, ventromedial putamen)"
"Lt. basal ganglia (dCa, dorsal caudate)"
"Rt. basal ganglia (dCa, dorsal caudate)"
"Lt. basal ganglia (dlPu, dorsolateral putamen)"
"Rt. basal ganglia (dlPu, dorsolateral putamen)"
"Lt. thalamus (mPFtha, medial prefrontal thalamus)"
"Rt. thalamus (mPFtha, medial prefrontal thalamus)"
"Lt. thalamus (mPMtha, premotor thalamus)"
"Rt. thalamus (mPMtha, premotor thalamus)"
"Lt. thalamus (Stha, sensory thalamus)"
"Rt. thalamus (Stha, sensory thalamus)"
"Lt. thalamus (rTha, rostral temporal thalamus)"
"Rt. thalamus (rTha, rostral temporal thalamus)"
"Lt. thalamus (PPtha, posterior parietal thalamus)"
"Rt. thalamus (PPtha, posterior parietal thalamus)"
"Lt. thalamus (Otha, occipital thalamus)"
"Rt. thalamus (Otha, occipital thalamus)"
"Lt. thalamus (cTha, caudal temporal thalamus)"
"Rt. thalamus (cTha, caudal temporal thalamus)"
"Lt. thalamus (lPFtha, lateral prefrontal thalamus)"
"Rt. thalamus (lPFtha, lateral prefrontal thalamus)"
Lt. cerebellum (lobule I-IV)
Rt. cerebellum (lobule I-IV)
Lt. cerebellum (lobule V)
Rt. cerebellum (lobule V)
Lt. cerebellum (lobule VI)
Vermis. cerebellum (lobule VI)
Rt. cerebellum (lobule VI)
Lt. cerebellum (crus I)
Rt. cerebellum (crus I)
Lt. cerebellum (crus II)
Vermis. cerebellum (crus II)
Rt. cerebellum (crus II)
Lt. cerebellum (lobule VIIb)
Vermis. cerebellum (lobule VIIb)
Rt. cerebellum (lobule VIIb)
Lt. cerebellum (lobule VIIIa)
Vermis. cerebellum (lobule VIIIa)
Rt. cerebellum (lobule VIIIa)
Lt. cerebellum (lobule VIIIb)
Vermis. cerebellum (lobule VIIIb)
Rt. cerebellum (lobule VIIIb)
Lt. cerebellum (lobule IX)
Vermis. cerebellum (lobule IX)
Rt. cerebellum (lobule IX)
Lt. cerebellum (lobule X)
Vermis. cerebellum (lobule X)
Rt. cerebellum (lobule X)
Hypothalamus
Brainstem
Periaqueductal gray
Lt. substantia nigra
Rt. substantia nigra
Lt. red nucleus
Rt. red nucleus
